policy,overburden_delta_mean,overburden_delta_std,pressure_delta_mean,pressure_delta_std,affordability_delta_mean,n_seeds,ranking
baseline,0.0,0.0,0.0,0.0,0.0,10,3.0
market_led,6.145308296246922e-05,2.126423193839641e-06,0.017208057548381284,0.0007340392678354965,6.145308296246922e-05,10,4.0
inclusionary_housing,-4.667857830588686e-05,1.6031454571191786e-06,-0.013054169111373493,0.0005511371678013494,-4.6678578305886945e-05,10,1.0
land_value_capture,-4.48095396601335e-05,1.5505169121747007e-06,-0.012547541873474621,0.0005352369633564785,-4.4809539660133764e-05,10,2.0
